dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
rest-6db8bbcfc6-b7rll,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.998s,master,56447272n,30368Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.996s,master,57935016n,28Mi
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.998s,workerchar,97596406n,22152Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.997s,workerdb,75501440n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.998s,workerdb,73228203n,25808Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.997s,workerroll,0,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.997s,cassandra,346944842n,1981412Ki
cassdb01-cassandra-1,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.996s,cassandra,244473913n,1741308Ki
cassdb01-cassandra-2,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.996s,cassandra,305927694n,1764592Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.998s,rabbitmq,54644732n,172276Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.998s,master,56447272n,30368Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.996s,master,57935016n,28Mi
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.998s,workerchar,97596406n,22152Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.997s,workerdb,75501440n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.998s,workerdb,73228203n,25808Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:38:11Z,2024-12-10T00:38:15Z,14.997s,workerroll,0,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.997s,cassandra,346944842n,1981412Ki
cassdb01-cassandra-1,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.996s,cassandra,244473913n,1741308Ki
cassdb01-cassandra-2,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.996s,cassandra,305927694n,1764592Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.998s,rabbitmq,54644732n,172276Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.998s,master,56447272n,30368Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.996s,master,57935016n,28Mi
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.998s,workerchar,97596406n,22152Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.997s,workerdb,75501440n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.998s,workerdb,73228203n,25808Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:38:11Z,2024-12-10T00:38:20Z,14.997s,workerroll,0,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,cassandra,176046282n,1981404Ki
cassdb01-cassandra-1,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.282s,cassandra,318695017n,1741120Ki
cassdb01-cassandra-2,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,cassandra,388503867n,1764612Ki
